ABBREVIATIONS,Full forms
LBAY,laughing back at you
LBS,"laughing, but serious"
LBVS,laughing but very serious
LD,long distance
LDO,"like, duh obviously"
LEMENO,let me know
LERK,leaving easy reach of keyboard
LET'S,let us
LFD,left for day
LFG,looking for group
LFM,looking for more
LGH,lets get high
LH6,lets have sex
LHM,lord help me
LHO,laughing head off
LHSX,lets have sex
LI,linkedin
LIC,like I care
LIK,liquor
LIMT,laugh in my tummy
LIT,really good
LLGB,"love, later, god bless"
LLS,laughing like shit
LMAO,laughing my ass off
LMBO,laughing my butt off
LMFAO,laughing my fucking ass off
LMIRL,lets meet in real life
LMK,let me know
LMMFAO,laughing my mother fucking ass off
LMNK,leave my name out
LMS,like my status
LNT,lost in translation
LOA,list of acronyms
LOL,laugh out loud
LOLH,laughing out loud hysterically
LOLO,lots of love
LOLWTF,laughing out loud what the fuck?
LOTI,laughing on the inside
LOTR,lord of the rings
LQTM,laughing quietly to myself
LSHMBH,laugh so hard my belly hurts
LSV,"language, sex and violence"
LTD,living the dream
LTK,like to know
LTLWDLS,lets twist like we did last summer
LTNS,long time no see
LTOD,laptop of death
LTS,laughing to self
LULT,love you long time
LULZ,"joke, or for laughs"
LVM,left voice mail
LWOS,laughing without smiling
LY,love ya
LYLAS,love you like a sis
LYLC,love you like crazy
LYSM,love you so much
M$,microsoft
M8,mate
MB,mammas boy
MBS,mom behind shoulder
MC,merry christmas
MCM,man crush monday
MDIAC,my dad is a cop
MEGO,my eyes glaze over
MEH,just okay
MEHH,a sigh or sighing
MEZ,mesmerize
MFI,mad for it
MFW,my face when
MGB,may god bless
MGMT,management
MHOTY,my hat is off to you
MIGHTN'T,might not
MIRL,meet in real life
MKAY,"mmm, okay"
MLM,multI level marketing
MM,sister
MMK,okay?
MNC,mother nature calls
MNSG,mensaje
MOD,modification
MOMBOY,mammas boy
MOO,my own opinion
MOOS,member of the opposite sex
MORF,male or female?
MOS,mother over shoulder
MOSS,member of same sex
MP,mana points
MRT,modified retweet
MRW,my reaction when
MSG,message
MTF,more to follow
MTFBWU,may the force be with you
MTFBWY,may the force be with you
MU,miss you
MUAH,multiple unsuccessful attempts at humor
MUSM,miss you so much
MUSTN'T,must not
MWAH,kiss
MYO,mind your own business
MYOB,mind your own business
N00B,"noob, newbie"
N1,nice one
N2M,nothing too much
NADT,not a darn thing
NALOPKT,not a lot of people know that
NANA,"not now, no need"
NBD,no big deal
NBFAB,no bad for a beginner
NC,nice crib
ND,nice double
NE,any
NE1,anyone
NEEDN'T,need not
NERF,changed and is now weaker
NFM,not for me
NFS,not for sale
NFW,not for work
NFWS,not for work safe
NGL,not gonna lie
NH,nice hand
NIFOC,naked in front of computer
NIGI,now I get it
NIMBY,not in my back yard
NIROK,not in reach of keyboard
NLT,no later than
NM,never mind
NMH,not much here
NMJC,"nothing much, just chilling"
NMU,"not much, you?"
NO1,no one
NOOB,someone who is bad at games
NOWL,knowledge
NOYB,none of your business
NP,no problem
NPC,non-playing character
NQT,newly qualified teacher
NR,nice roll
NRN,no response/reply necessary
NS,nice score
NSA,no strings attached
NSFL,not safe for life
NSFW,not safe for work
NSISR,not sure if spelled right
NT,nice try
NTH,nice to have
NTHING,nothing
NTS,note to self
NVM,never mind
NVR,never
NW,no way
NWO,no way out
O4U,only for you
OA,online auctions
OAN,on another note
OATUS,on a totally unrelated subject
OB,oh baby
OBV,obviously
OC,original content
OFC,of course
OG,original gangster
OGIM,"oh god, its monday"
OH,overheard
OHHEMMGEE,oh my god
OI,operator indisposed
OIB,"oh, I am back"
OIC,"oh, I see"
OJ,only joking
OL,old lady
OLL,online love
OM,"oh, my"
OMAA,"oh, my aching ass"
OMDB,over my dead body
OMFG,oh my fucking god
OMFGLMAOBBQROFL COPTERISS,"oh my fucking god, laugh my ass off, owned, roll on floor spinning around I am so sad"
OMG,oh my gosh
OMGYG2BK,"oh my god, you got to be kidding"
OMGYS,oh my gosh you suck
OML,oh my lord
OMS,on my soul
OMW,on my way
ONL,online
OO,over and out
OOC,out of character
OOH,out of here
OOMF,one of my followers
OOO,out of office
OOTD,one of these days
OOTO,out of the office
OP,on phone
ORLY,oh really?
OS,operating system
OT,off topic
OTB,off to bed
OTFL,on the floor laughing
OTL,out to lunch
OTOH,on the other hand
OTP,on the phone
OTT,over the top
OTTOMH,off the top of my head
OTW,off to work
OVA,over
OYO,on your own
P,partner
P2P,pay to play
P911,parents coming into room alert
PAP,post a picture
PAT,patrol
PAW,parents are watching
PBOOK,phonebook
PC,player character
PCM,please call me
PDA,personal display of affection
PDH,pretty darn happy
PDQ,pretty darn quick
PDS,please do not shoot
PEEPS,people
PFT,pretty fucking tight
PIC,picture
PIN,personal identification number
PIP,peeing in pants
PIR,parents in room
PISS,put in some sugar
PITA,pain in the ass
PKI,public key infrastructure
PKMN,pokemon
PL8,plate
PLD,played
PLMK,please let me know
PLS,please
PLU,people like us
PLZ,please
PLZTLME,please tell me
PM,private message
PMFI,pardon me for interrupting
PMFJI,pardon me for jumping in
PMSL,pee myself laughing
POAHF,put on a happy face
POIDH,"picture, or it didnt happen"
POS,parent over shoulder
POT,potion
POTD,photo of the day
POV,point of view
PP,profile picture
PPL,people
PPU,pending pick-up
PR,page rank; public relations
PRESH,precious
PROBS,probably
PROGGY,computer program
PROLLY,probably
PRON,pornography
PRT,party
PRW,people/parents are watching
PSA,public service announcement
PSOS,parent standing over shoulder
PSP,playstation portable
PST,please send tell
PTB,please text back
PTFO,pass the fuck out
PTIYPASI,put that in your pipe and smoke it
PTL,praise the lord
PTMM,please tell me more
PTO,paid time off
PU,that stinks!
PUG,pick up group
PUKS,pick up kids
PV,page views
PVE,player versus enemy
PVP,player versus player
PWN,own
PXT,please explain that
PYT,pretty young thing
PZ,peace
PZA,pizza
Q,queue
Q_Q,crying eyes
Q4U,question for you
QC,quality control
QFE,question for everyone
QFI,quoted for idiocy
QFT,quoted for truth
QIK,quick
QL,quit laughing
QOTD,quote of the day
QQ,quick question
QSL,reply
QSO,conversation
QT,cutie
QTPI,cutie pie
R,are
R8,rate
RAK,random act of kindness
RBAY,right back at you
RFN,right fucking now
RGR,roger
RHIP,rank has its privileges
RIP,rest in peace
RL,real life
RLY,really
RME,rolling my eyes
RMLB,read my lips baby
RMMM,read my mail man
RN,right now
ROFL,rolling on floor laughing
ROFLCOPTER,rolling on floor laughing and spinning around
ROFLMAO,"rolling on the floor, laughing my ass off"
ROI,return on investment
ROTFL,rolling on the floor laughing
ROTFLUTS,rolling on the floor laughing unable to speak
RS,runescape
RSN,real soon now
RSS,rich site summary
RT,retweet
RTBS,reason to be single
RTD,real time data
RTFM,read the fucking manual
RTFQ,read the fucking question
RTHX,thanks for the retweet
RTMS,"read the manual, stupid"
RTNTN,retention
RTRCTV,retroactive
RTRMT,retirement
RTSM,read the stupid manual
RTWFQ,read the whole fucking question
RU,are you?
RUMOF,are you male or female?
RUOK,are you okay?
RUT,are you there?
RW,real world
RX,regards
RYB,read your bible
RYO,roll your own
RYS,read your screen
S2R,send to receive
S2S,sorry to say
S4L,spam for life
SAAS,software as a service
SAL,such a laugh
SAT,sorry about that
SB,should be
SBIA,standing back in amazement
SBT,sorry bout that
SC,stay cool
SD,sweet dreams
SDMB,"sweet dreams, my baby"
SEM,search engine marketing
SEO,search engine optimization
SERP,search engine results page
SETE,smiling ear-to-ear
SFAIK,so far as I know
SFLR,sorry for the late reply
SFW,safe for work
SG,sounds good
SH,same here
SH^,shut up
SHE'D,she would
SHE'LL,she will
SHE'S,she is
SHID,slapping head in disgust
SHOULDN'T,should not
SICNR,"sorry, I could not resist"
SIG2R,"sorry, I got to run"
SIHTH,stupidity is hard to take
SIMYC,sorry I missed your call
SIR,strike it rich
SIS,sister
SIT,stay in touch
SITD,still in the dark
SJW,social justice warrior
SK8,skate
SK8NG,skating
SK8R,skater
SK8RBOI,skater boy
SLAP,sounds like a plan
SLAY,to succeed at something
SM,social media
SMAZED,smoky haze
SMB,small to midsize business
SMH,shaking my head
SMHID,scratching my head in disbelief
SMM,social media marketing
SMO,social media optimization
SMP,social media platform
SMS,short message service
SNAFU,situation normal all fouled up
SNERT,snot nosed egotistical rude teenager
SNR,streaks and recents
SO,significant other
SOAB,son of a bitch
SOK,it is okay
SOL,sooner or later
SOML,story of my life
SOMY,sick of me yet?
SOP,standard operating procedure
SORG,straight or gay?
SOS,help
SOT,short of time
SOTMG,"short of time, must go"
SOV,share of voice
SOWM,someone with me
SPK,speak
SPST,"same place, same time"
SPTO,spoke to
SQ,square
SRP,social relationship platform
SRSLY,seriously
SRY,sorry
SS,so sorry
SSDD,"same stuff, different day"
SSIF,so stupid its funny
SSINF,so stupid its not funny
SSL,secure sockets layer
ST&D,stop texting and drive
STAN,a die-hard fan of someone
STFU,shut the fuck up
STR8,straight
STW,search the web
SU,shut up
SUITM,see you in the morning
SUL,see you later
SUP,what is up?
SUTH,so used to haters
SUX,sucks
SUYF,shut up you fool
SWAG,scientific wild ass guess
SWAK,sent with a kiss
SWALK,sent with a loving kiss
SWAT,scientific wild ass guess
SWL,screaming with laughter
SYL,see you later
SYS,see you soon
SYY,shut your yapper
T:)T,think happy thoughts
T+,think positive
T4BU,thanks for being you
TA,thanks a lot
TAFN,that is all for now
TAM,tomorrow a.m.
TARFU,things are really fucked up
TAU,thinking about you
TAUMUALU,thinking about you miss you always love you
TBA,to be announced
TBBH,to be brutally honest
TBC,to be continued
TBD,to be determined
TBH,to be honest
TBL,text back later
TBT,throwback thursday
TC,take care
TCB,take care of business
TCOY,take care of yourself
TD,tower defense
TD2M,talk dirty to me
TDTM,talk dirty to me
TFF,too fucking funny
TFS,thanks for sharing
TFTF,thanks for the follow
TFTI,thanks for the invitation
TFTT,thanks for this tweet
TFW,that feeling when
TG,thank goodness
TGIF,thank god its friday
THAT'S,that is
THERE'D,there would
THERE'LL,there will
THERE'S,there is
THEY'D,they would
THEY'LL,they will
THEY'RE,they are
THEY'VE,they have
THNQ,thank-you
THNX,thanks
THT,think happy thoughts
THX,thanks
TIA,thanks in advance
TIAD,tomorrow is another day
TIC,tongue-in-cheek
TIL,today I learned
TILIS,tell it like it is
TIR,teacher in room
TL,too long
TL;DR,too long; didnt read
TLK2UL8R,talk to you later
TM,trust me
TMA,take my advice
TMB,text me back
TMI,too much information
TMOT,trust me on this
TMRW,tomorrow
TMTH,too much to handle
TMWFI,take my word for it
TMYL,tell me your location
TNSTAAFL,there is no such thing as a free lunch
TNT,til next time
TNTL,trying not to laugh
TOJ,tears of joy
TOS,terms of service
TOTES,totally
TOU,thinking of you
TPM,tomorrow p.m.
TPTB,the powers that be
TQ,te quiero / I love you
TSH,tripping so hard
TSL,transport layer security
TSNF,that is so not fair
TSTB,"the sooner, the better"
TT,trending topic
TTFN,ta ta for now
TTG,time to go
TTLY,totally
TTP,to the point
TTTT,these things take time
TTUL,talk to you later
TTYAFN,talk to you awhile from now
TTYL,talk to you later
TTYS,talk to you soon
TU,thank you
TUI,turning you in
TURNT,"excitement, turned up"
TWSS,that is what she said
TX,thanks
TY,thank you
TYAFY,thank you and fuck you
TYFC,thank you for charity
TYFYC,thank you for your comment
TYS,told you so
TYSO,thank you so much
TYT,take your time
TYVM,thank you very much
U-L,you will
UCMU,you crack me up
UDI,unidentified drinking injury
UDM,you the man
UDS,ugly domestic scene
UFB,un fucking believable
UFN,until further notice
UFWM,you fucking with me?
UGC,user generated content
UGTBK,youve got to be kidding
UI,user interface
UKTR,you know that is right
UL,upload
UN4TUN8,unfortunate
UNA,use no acronyms
UNBLEFBLE,unbelievable
UNCRTN,uncertain
UNPC,un politically correct
UOK,are you ok?
UR,you are / youre
UR2YS4ME,you are too wise for me
URA*,you are a star
URH,you are hot
URL,uniform resource locator
URSKTM,you are so kind to me
URTM,you are the man
URW,you are welcome
USBCA,until something better comes along
USU,usually
UT,unreal tournament
UT2L,you take too long
UTM,you tell me
UV,unique views
UW,you are welcome
UX,user experience
V,very
V/R,very respectfully
VAT,value added tax
VBL,visible bra line
VBS,very big smile
VC,voice chat
VEG,very evil grin
VFF,very fucking funny
VFM,value for money
VGC,very good condition
VGG,very good game
VGH,very good hand
VIN,vehicle identification number
VIP,very important person
VM,voice mail
VN,very nice
VNH,very nice hand
VOIP,voice over internet protocol
VRY,very
VSC,very soft chuckle
VSF,very sad face
VWD,very well done
VWP,very well played
W@,what?
W/,with
W/B,welcome back
W/E,whatever
W/END,weekend
W/O,without
W8,wait
WAH,working at home
WAJ,what a jerk
WAM,wait a minute
WAN2,want to?
WAN2TLK,want to talk
WAREZ,pirated software
WAS,wait a second
WASN'T,was not
WAT,what
WAWA,where are we at?
WAYF,where are you from?
WB,welcome back
WBS,write back soon
WBU,what about you?
WBW,way back wednesday
WC,who cares
WCA,who cares anyway
WCW,women crush wednesday
WDALYIC,who died and left you in charge
WDYK,what do you know?
WDYM,what do you mean
WDYT,what do you think?
WE,whatever
WE'D,we would
WE'LL,we will
WE'RE,we are
WE'VE,we have
WEBO,webopedia
WEP,weapon
WEREN'T,were not
WFH,work from home
WGACA,what do you think?
WH5,who what when where why
WHAT'LL,what will
WHAT'S,what is
WHATEVES,whatever
WHEN'S,when is
WHERE'S,where is
WHO'D,who would
WHO'LL,who will
WHO'S,who is
WIBNI,would not it be nice if
WIIFM,what is in it for me?
WISP,winning is so pleasurable
WITP,what is the point?
WITW,what in the world
WIU,wrap it up
WK,week
WKD,weekend
WL,whatta loser
WOA,work of art
WOM,word of mouth
WOMBAT,"waste of money, brains and time"
WON'T,will not
WOULDN'T,would not
WOW,world of warcraft
WRK,work
WRT,with regard to
WRU,where are you?
WRU@,where are you at?
WRUD,what are you doing?
WTB,want to buy
WTF,what the fuck?
WTFE,what the fuck ever
WTFO,"what the fuck?, over"
WTG,way to go
WTGP,want to go private
WTH,what the heck?
WTM,who is the man?
WTS,want to sell?
WTT,want to trade?
WU,what is up?
WUCIWUG,what you see is what you get
WUF,where are you from?
WUP,what is up?
WUT,what
WUU2,what are you up to?
WUW,what you want?
WUZ,was
WWNC,will wonders never cease
WWYC,write when you can
WYCM,will you call me?
WYD,what are you doing?
WYGAM,when you get a minute
WYHAM,when you have a minute
WYLEI,when you least expect it
WYSIWYG,what you see is what you get
WYWH,wish you were here
X,kiss
X-1-10,exciting
X!,a typical woman
XD,really hard laugh
XLNT,excellent
XLR8,faster or going faster
XME,excuse me
XOXOXO,hugs and kisses
XPOST,cross-post
XYL,ex-young lady
XYZ,examine your zipper
Y,why?
Y2K,you are too kind
YA,your
YAA,yet another acronym
YABA,yet another bloody acronym
YARLY,"ya, really?"
YAS,praise
YBIC,your brother in christ
YBS,youll be sorry
YCDBWYCID,you cant do business when your computer is down
YCHT,you can have them
YCLIU,you can look it up
YCMU,you crack me up
YCT,your comment to?
YD,yesterday
YEET,excitement
YF,wife
YG,young gentleman
YGG,you go girl
YGM,you get me
YGTBKM,youve got to be kidding me
YGTI,you get the idea
YGTR,you got that right
YHBT,you have been trolled
YHBW,you have been warned
YHL,you have lost
YIU,"yes, I understand"
YKW,you know what
YKWYCD,you know what you can do
YL,young lady
YMMV,your mileage may vary
YNK,you never know
YOLO,you only live once
YOU'D,you would
YOU'LL,you will
YOU'RE,you are
YOU'VE,you have
YP,"yes, please"
YR,yeah right
YRYOCC,you are running your own cuckoo clock
YSIC,your sister in christ
YSK,you should know
YSYD,yeah sure you do
YT,you there?
YTB,you are the best
YTG,you are the greatest
YTTL,you take too long
YW,you are welcome
YWHNB,"yes, we have no bananas"
YWHOL,yelling woohoo out loud
YWSYLS,"you win some, you lose some"
YYSSW,yeah yeah sure sure whatever
ZH,sleeping hour
ZOMG,oh my god
ZOT,zero tolerance
ZUP,what is up?
ZZZZ,sleeping